recipe id,ingredient id
"4140","6591"
"4142","6591"
"4215","6591"
"5356","6591"
"5455","6591"
"5629","6591"
"8384","6591"
"8927","6591"
"9983","6591"
"11039","6591"
"13022","6591"
"13598","6591"
"13895","6591"
"14141","6591"
"14277","6591"
"14524","6591"
"16789","6591"
"17079","6591"
"17297","6591"
"17401","6591"
"17994","6591"
"18055","6591"
"18391","6591"
"18446","6591"
"19043","6591"
"4140","6592"
"4146","6592"
"4150","6592"
"4154","6592"
"4158","6592"
"4160","6592"
"4172","6592"
"4175","6592"
"4184","6592"
"4186","6592"
"4199","6592"
"4202","6592"
"4230","6592"
"4233","6592"
"4234","6592"
"4236","6592"
"4237","6592"
"4239","6592"
"4245","6592"
"4248","6592"
"4253","6592"
"4258","6592"
"4263","6592"
"4264","6592"
"4267","6592"
"4276","6592"
"4279","6592"
"4285","6592"
"4288","6592"
"4311","6592"
"4312","6592"
"4322","6592"
"4326","6592"
"4333","6592"
"4335","6592"
"4343","6592"
"4349","6592"
"4363","6592"
"4364","6592"
"4367","6592"
"4370","6592"
"4371","6592"
"4382","6592"
"4386","6592"
"4398","6592"
"4399","6592"
"4400","6592"
"4402","6592"
"4423","6592"
"4428","6592"
"4429","6592"
"4435","6592"
"4440","6592"
"4447","6592"
"4448","6592"
"4456","6592"
"4458","6592"
"4459","6592"
"4461","6592"
"4467","6592"
"4470","6592"
"4476","6592"
"4479","6592"
"4483","6592"
"4485","6592"
"4491","6592"
"4493","6592"
"4494","6592"
"4504","6592"
"4514","6592"
"4516","6592"
"4521","6592"
"4523","6592"
"4537","6592"
"4541","6592"
"4547","6592"
"4548","6592"
"4553","6592"
"4557","6592"
"4559","6592"
"4560","6592"
"4566","6592"
"4574","6592"
"4577","6592"
"4581","6592"
"4582","6592"
"4584","6592"
"4600","6592"
"4619","6592"
"4623","6592"
"4624","6592"
"4628","6592"
"4637","6592"
"4644","6592"
"4647","6592"
"4659","6592"
"4660","6592"
"4664","6592"
"4666","6592"
"4669","6592"
"4670","6592"
"4671","6592"
"4672","6592"
"4674","6592"
"4676","6592"
"4688","6592"
"4696","6592"
"4702","6592"
"4706","6592"
"4709","6592"
"4711","6592"
"4712","6592"
"4736","6592"
"4747","6592"
"4749","6592"
"4752","6592"
"4760","6592"
"4764","6592"
"4771","6592"
"4772","6592"
"4785","6592"
"4787","6592"
"4788","6592"
"4794","6592"
"4804","6592"
"4817","6592"
"4821","6592"
"4824","6592"
"4827","6592"
"4828","6592"
"4832","6592"
"4835","6592"
"4838","6592"
"4841","6592"
"4861","6592"
"4884","6592"
"4885","6592"
"4887","6592"
"4893","6592"
"4895","6592"
"4900","6592"
"4904","6592"
"4922","6592"
"4925","6592"
"4936","6592"
"4943","6592"
"4949","6592"
"4956","6592"
"4960","6592"
"4962","6592"
"4965","6592"
"4979","6592"
"4985","6592"
"4988","6592"
"4993","6592"
"4995","6592"
"4996","6592"
"5004","6592"
"5006","6592"
"5007","6592"
"5008","6592"
"5016","6592"
"5034","6592"
"5043","6592"
"5056","6592"
"5072","6592"
"5082","6592"
"5091","6592"
"5095","6592"
"5104","6592"
"5109","6592"
"5112","6592"
"5116","6592"
"5117","6592"
"5122","6592"
"5126","6592"
"5140","6592"
"5151","6592"
"5153","6592"
"5158","6592"
"5168","6592"
"5173","6592"
"5182","6592"
"5188","6592"
"5191","6592"
"5197","6592"
"5215","6592"
"5217","6592"
"5218","6592"
"5224","6592"
"5230","6592"
"5247","6592"
"5256","6592"
"5258","6592"
"5262","6592"
"5266","6592"
"5269","6592"
"5279","6592"
"5281","6592"
"5287","6592"
"5297","6592"
"5299","6592"
"5305","6592"
"5325","6592"
"5333","6592"
"5336","6592"
"5340","6592"
"5344","6592"
"5353","6592"
"5357","6592"
"5362","6592"
"5363","6592"
"5365","6592"
"5367","6592"
"5380","6592"
"5392","6592"
"5396","6592"
"5397","6592"
"5400","6592"
"5404","6592"
"5414","6592"
"5415","6592"
"5418","6592"
"5423","6592"
"5425","6592"
"5441","6592"
"5446","6592"
"5449","6592"
"5452","6592"
"5453","6592"
"5458","6592"
"5465","6592"
"5468","6592"
"5477","6592"
"5478","6592"
"5479","6592"
"5489","6592"
"5490","6592"
"5495","6592"
"5496","6592"
"5498","6592"
"5499","6592"
"5507","6592"
"5513","6592"
"5518","6592"
"5519","6592"
"5525","6592"
"5538","6592"
"5542","6592"
"5543","6592"
"5547","6592"
"5548","6592"
"5552","6592"
"5559","6592"
"5564","6592"
"5579","6592"
"5587","6592"
"5589","6592"
"5591","6592"
"5592","6592"
"5598","6592"
"5603","6592"
"5607","6592"
"5613","6592"
"5627","6592"
"5629","6592"
"5634","6592"
"5643","6592"
"5647","6592"
"5648","6592"
"5665","6592"
"5667","6592"
"5674","6592"
"5680","6592"
"5687","6592"
"5694","6592"
"5700","6592"
"5704","6592"
"5707","6592"
"5720","6592"
"5723","6592"
"5728","6592"
"5730","6592"
"5732","6592"
"5735","6592"
"5737","6592"
"5741","6592"
"5747","6592"
"5749","6592"
"5750","6592"
"5754","6592"
"5757","6592"
"5758","6592"
"5769","6592"
"5771","6592"
"5774","6592"
"5781","6592"
"5785","6592"
"5798","6592"
"5802","6592"
"5809","6592"
"5811","6592"
"5813","6592"
"5822","6592"
"5825","6592"
"5826","6592"
"5830","6592"
"5833","6592"
"5841","6592"
"5846","6592"
"5847","6592"
"5848","6592"
"5861","6592"
"5868","6592"
"5883","6592"
"5885","6592"
"5888","6592"
"5891","6592"
"5892","6592"
"5893","6592"
"5918","6592"
"5922","6592"
"5926","6592"
"5927","6592"
"5929","6592"
"5933","6592"
"5937","6592"
"5946","6592"
"5961","6592"
"5962","6592"
"5963","6592"
"5967","6592"
"5972","6592"
"5983","6592"
"5988","6592"
"5994","6592"
"5995","6592"
"5996","6592"
"6006","6592"
"6012","6592"
"6020","6592"
"6021","6592"
"6022","6592"
"6024","6592"
"6026","6592"
"6040","6592"
"6045","6592"
"6047","6592"
"6048","6592"
"6057","6592"
"6060","6592"
"6062","6592"
"6070","6592"
"6072","6592"
"6074","6592"
"6081","6592"
"6082","6592"
"6085","6592"
"6105","6592"
"6106","6592"
"6111","6592"
"6114","6592"
"6115","6592"
"6121","6592"
"6129","6592"
"6130","6592"
"6135","6592"
"6144","6592"
"6145","6592"
"6150","6592"
"6153","6592"
"6159","6592"
"6169","6592"
"6184","6592"
"6185","6592"
"6194","6592"
"6200","6592"
"6207","6592"
"6211","6592"
"6213","6592"
"6214","6592"
"6218","6592"
"6222","6592"
"6224","6592"
"6225","6592"
"6229","6592"
"6236","6592"
"6252","6592"
"6254","6592"
"6261","6592"
"6263","6592"
"6269","6592"
"6271","6592"
"6273","6592"
"6282","6592"
"6301","6592"
"6307","6592"
"6310","6592"
"6331","6592"
"6332","6592"
"6333","6592"
"6334","6592"
"6336","6592"
"6338","6592"
"6339","6592"
"6340","6592"
"6343","6592"
"6348","6592"
"6353","6592"
"6354","6592"
"6358","6592"
"6360","6592"
"6361","6592"
"6362","6592"
"6366","6592"
"6370","6592"
"6375","6592"
"6377","6592"
"6378","6592"
"6387","6592"
"6388","6592"
